run_id,test_id,tool,thread_count,events_per_sec,mean_latency_ms,p95_latency_ms,scaling_efficiency,raw_file
2026-09-13_vultr_delhi_hp-4c8g-intel_run01,T010,sysbench_cpu,1,472.04,2.12,2.18,N/A,T010_raw.log
2026-09-13_vultr_delhi_hp-4c8g-intel_run01,T011,sysbench_cpu,4,1888.52,2.12,2.18,1.0002,T011_raw.log
2026-09-13_vultr_delhi_hp-4c8g-intel_run01,T012,sysbench_cpu,4,1887.48,2.12,2.18,"Burst/Sust=1.0, CV=0.34%",T012_raw.log
2026-09-13_vultr_mumbai_hp-4c8g-amd_run01,T010,sysbench_cpu,1,1348.07,0.74,0.77,N/A,T010_raw.log
2026-09-13_vultr_mumbai_hp-4c8g-amd_run01,T011,sysbench_cpu,4,5412.28,0.74,0.75,1.0037,T011_raw.log
2026-09-13_vultr_mumbai_hp-4c8g-amd_run01,T012,sysbench_cpu,4,5393.78,0.74,0.77,"Burst/Sust=1.01, CV=0.64%",T012_raw.log
2026-09-14_gcp_uswest1_e2-micro_run01,T010,sysbench_cpu,1,190.82,5.22,3.19,N/A,T010_raw.log
2026-09-14_gcp_uswest1_e2-micro_run01,T011,sysbench_cpu,2,117.83,16.97,223.34,0.3087,T011_raw.log
2026-09-14_gcp_uswest1_e2-micro_run01,T012,sysbench_cpu,2,75.75,26.4,223.34,"Burst/Sust=2.4, CV=83.5%",T012_raw.log
2026-09-14_gcp_us-west1_e2-standard-4_run01,T010,sysbench_cpu,1,335.92,2.98,3.3,N/A,T010_raw.log
2026-09-14_gcp_us-west1_e2-standard-4_run01,T011,sysbench_cpu,4,1114.29,3.59,3.96,0.8293,T011_raw.log
2026-09-14_gcp_us-west1_e2-standard-4_run01,T012,sysbench_cpu,4,1102.99,3.62,4.1,"Burst/Sust=0.97, CV=2.35%",T012_raw.log
2026-09-14_gcp_us-central1_c2-standard-4_run01,T010,sysbench_cpu,1,488.53,2.05,2.07,N/A,T010_raw.log
2026-09-14_gcp_us-central1_c2-standard-4_run01,T011,sysbench_cpu,4,1654.07,2.42,2.43,0.8465,T011_raw.log
2026-09-14_gcp_us-central1_c2-standard-4_run01,T012,sysbench_cpu,4,1654.07,2.42,2.43,"Burst/Sust=1.0, CV=0.04%",T012_raw.log
2026-09-14_gcp_us-central1_t2a-standard-4_run01,T010,sysbench_cpu,1,1292.32,0.77,0.78,N/A,T010_raw.log
2026-09-14_gcp_us-central1_t2a-standard-4_run01,T011,sysbench_cpu,4,5172.01,0.77,0.78,1.0005,T011_raw.log
2026-09-14_gcp_us-central1_t2a-standard-4_run01,T012,sysbench_cpu,4,5171.62,0.77,0.78,"Burst/Sust=1.0, CV=0.05%",T012_raw.log
