run_id,test_id,operation,threads,block_size,total_ops_or_mb,throughput_mb_s,mean_latency_ms,raw_file
2026-09-13_vultr_delhi_hp-4c8g-intel_run01,T020,write,4,1M,65536.0,47792.01,0.08,T020_raw.log
2026-09-13_vultr_delhi_hp-4c8g-intel_run01,T020,read,4,1M,65536.0,91955.48,0.04,T020_raw.log
2026-09-13_vultr_mumbai_hp-4c8g-amd_run01,T020,write,4,1M,65536.0,18633.78,0.2,T020_raw.log
2026-09-13_vultr_mumbai_hp-4c8g-amd_run01,T020,read,4,1M,65536.0,156755.7,0.02,T020_raw.log
2026-09-14_gcp_uswest1_e2-micro_run01,T020,write,2,1M,65536.0,15514.9,0.13,T020_raw.log
2026-09-14_gcp_uswest1_e2-micro_run01,T020,read,2,1M,61852.0,6093.26,0.32,T020_raw.log
2026-09-14_gcp_us-west1_e2-standard-4_run01,T020,write,4,1M,65536.0,27368.43,0.14,T020_raw.log
2026-09-14_gcp_us-west1_e2-standard-4_run01,T020,read,4,1M,65536.0,46140.38,0.09,T020_raw.log
2026-09-14_gcp_us-central1_c2-standard-4_run01,T020,write,4,1M,65536.0,35058.26,0.11,T020_raw.log
2026-09-14_gcp_us-central1_c2-standard-4_run01,T020,read,4,1M,65536.0,75481.16,0.05,T020_raw.log
2026-09-14_gcp_us-central1_t2a-standard-4_run01,T020,write,4,1M,65536.0,59916.09,0.07,T020_raw.log
2026-09-14_gcp_us-central1_t2a-standard-4_run01,T020,read,4,1M,65536.0,58678.84,0.07,T020_raw.log
2026-09-14_gcp_asia-south2_e2-micro_run01,T020,write,2,1M,65536.0,27495.06,0.07,T020_raw.log
2026-09-14_gcp_asia-south2_e2-micro_run01,T020,read,2,1M,65536.0,14481.34,0.14,T020_raw.log
2026-09-14_vultr_delhi_vc2-1c-1gb_run01,T020,write,1,1M,65536.0,19787.67,0.05,T020_raw.log
2026-09-14_vultr_delhi_vc2-1c-1gb_run01,T020,read,1,1M,65536.0,24095.46,0.04,T020_raw.log
2026-09-14_vultr_delhi_vc2-1c-2gb_run01,T020,write,1,1M,65536.0,19667.79,0.05,T020_raw.log
2026-09-14_vultr_delhi_vc2-1c-2gb_run01,T020,read,1,1M,65536.0,24029.8,0.04,T020_raw.log
2026-09-14_vultr_sgp_vc2-1c-1gb_run01,T020,write,1,1M,65536.0,11893.03,0.08,T020_raw.log
2026-09-14_vultr_sgp_vc2-1c-1gb_run01,T020,read,1,1M,65536.0,17497.42,0.06,T020_raw.log
2026-09-14_vultr_mumbai_vc2-1c-1gb_run01,T020,write,1,1M,65536.0,19742.46,0.05,T020_raw.log
2026-09-14_vultr_mumbai_vc2-1c-1gb_run01,T020,read,1,1M,65536.0,24598.19,0.04,T020_raw.log
