run_id,test_id,io_pattern,block_size,queue_depth,read_iops,write_iops,read_mb_s,write_mb_s,mean_latency_ms,raw_file
2026-09-13_vultr_delhi_hp-4c8g-intel_run01,T031,"Sequential Write (1MB, iodepth=16, direct=1)",1M,16,0.0,2924.0,0.0,2924.0,0.065,T031_raw.log
2026-09-13_vultr_delhi_hp-4c8g-intel_run01,T031,"Sequential Read (1MB, iodepth=16, direct=1)",1M,16,3306.0,0.0,3307.0,0.0,0.032,T031_raw.log
2026-09-13_vultr_delhi_hp-4c8g-intel_run01,T032,"Random Read (4K, iodepth=32, numjobs=4)",4k,32,218000.0,0.0,850.0,0.0,0.585,T032_raw.log
2026-09-13_vultr_delhi_hp-4c8g-intel_run01,T032,"Random Write (4K, iodepth=32, numjobs=4)",4k,32,0.0,219000.0,0.0,855.0,0.582,T032_raw.log
2026-09-13_vultr_delhi_hp-4c8g-intel_run01,T032,"Mixed Random 70/30 (4K, iodepth=32, numjobs=4)",4k,32,151000.0,64700.0,590.0,253.0,0.611,T032_raw.log
2026-09-13_vultr_mumbai_hp-4c8g-amd_run01,T031,"Sequential Write (1MB, iodepth=16, direct=1)",1M,16,0.0,2878.0,0.0,2878.0,0.086,T031_raw.log
2026-09-13_vultr_mumbai_hp-4c8g-amd_run01,T031,"Sequential Read (1MB, iodepth=16, direct=1)",1M,16,6460.0,0.0,6460.0,0.0,0.065,T031_raw.log
2026-09-13_vultr_mumbai_hp-4c8g-amd_run01,T032,"Random Read (4K, iodepth=32, numjobs=4)",4k,32,127000.0,0.0,497.0,0.0,1.0,T032_raw.log
2026-09-13_vultr_mumbai_hp-4c8g-amd_run01,T032,"Random Write (4K, iodepth=32, numjobs=4)",4k,32,0.0,124000.0,0.0,484.0,1.025,T032_raw.log
2026-09-13_vultr_mumbai_hp-4c8g-amd_run01,T032,"Mixed Random 70/30 (4K, iodepth=32, numjobs=4)",4k,32,88000.0,37700.0,344.0,147.0,1.024,T032_raw.log
2026-09-14_gcp_uswest1_e2-micro_run01,T031,"Sequential Write (1MB, iodepth=16, direct=1)",1M,16,0.0,101.0,0.0,102.0,0.462,T031_raw.log
2026-09-14_gcp_uswest1_e2-micro_run01,T031,"Sequential Read (1MB, iodepth=16, direct=1)",1M,16,120.0,0.0,120.0,0.0,0.077,T031_raw.log
2026-09-14_gcp_uswest1_e2-micro_run01,T032,"Random Read (4K, iodepth=32, numjobs=4)",4k,32,152.0,0.0,0.6,0.0,0.047,T032_raw.log
2026-09-14_gcp_uswest1_e2-micro_run01,T032,"Random Write (4K, iodepth=32, numjobs=4)",4k,32,0.0,304.0,0.0,1.19,0.892,T032_raw.log
2026-09-14_gcp_uswest1_e2-micro_run01,T032,"Mixed Random 70/30 (4K, iodepth=32, numjobs=4)",4k,32,124.0,55.0,0.49,0.21,4.39,T032_raw.log
2026-09-14_gcp_us-west1_e2-standard-4_run01,T031,"Sequential Write (1MB, iodepth=16, direct=1)",1M,16,0.0,240.0,0.0,240.0,0.231,T031_raw.log
2026-09-14_gcp_us-west1_e2-standard-4_run01,T031,"Sequential Read (1MB, iodepth=16, direct=1)",1M,16,240.0,0.0,240.0,0.0,0.074,T031_raw.log
2026-09-14_gcp_us-west1_e2-standard-4_run01,T032,"Random Read (4K, iodepth=32, numjobs=4)",4k,32,7718.0,0.0,30.1,0.0,0.028,T032_raw.log
2026-09-14_gcp_us-west1_e2-standard-4_run01,T032,"Random Write (4K, iodepth=32, numjobs=4)",4k,32,0.0,7542.0,0.0,29.5,0.023,T032_raw.log
2026-09-14_gcp_us-west1_e2-standard-4_run01,T032,"Mixed Random 70/30 (4K, iodepth=32, numjobs=4)",4k,32,5275.0,2268.0,20.6,8.86,0.027,T032_raw.log
2026-09-14_gcp_us-central1_c2-standard-4_run01,T031,"Sequential Write (1MB, iodepth=16, direct=1)",1M,16,0.0,240.0,0.0,240.0,0.135,T031_raw.log
2026-09-14_gcp_us-central1_c2-standard-4_run01,T031,"Sequential Read (1MB, iodepth=16, direct=1)",1M,16,240.0,0.0,240.0,0.0,0.019,T031_raw.log
2026-09-14_gcp_us-central1_c2-standard-4_run01,T032,"Random Read (4K, iodepth=32, numjobs=4)",4k,32,4115.0,0.0,16.1,0.0,31.089,T032_raw.log
2026-09-14_gcp_us-central1_c2-standard-4_run01,T032,"Random Write (4K, iodepth=32, numjobs=4)",4k,32,0.0,4021.0,0.0,15.7,0.012,T032_raw.log
2026-09-14_gcp_us-central1_c2-standard-4_run01,T032,"Mixed Random 70/30 (4K, iodepth=32, numjobs=4)",4k,32,2809.0,1211.0,11.0,4.73,31.84,T032_raw.log
2026-09-14_gcp_us-central1_t2a-standard-4_run01,T031,"Sequential Write (1MB, iodepth=16, direct=1)",1M,16,0.0,240.0,0.0,240.0,0.124,T031_raw.log
2026-09-14_gcp_us-central1_t2a-standard-4_run01,T031,"Sequential Read (1MB, iodepth=16, direct=1)",1M,16,240.0,0.0,240.0,0.0,0.043,T031_raw.log
2026-09-14_gcp_us-central1_t2a-standard-4_run01,T032,"Random Read (4K, iodepth=32, numjobs=4)",4k,32,7714.0,0.0,30.1,0.0,16.58,T032_raw.log
2026-09-14_gcp_us-central1_t2a-standard-4_run01,T032,"Random Write (4K, iodepth=32, numjobs=4)",4k,32,0.0,7537.0,0.0,29.4,16.97,T032_raw.log
2026-09-14_gcp_us-central1_t2a-standard-4_run01,T032,"Mixed Random 70/30 (4K, iodepth=32, numjobs=4)",4k,32,5271.0,2266.0,20.6,8.85,16.974,T032_raw.log
